Unnamed: 0,bookId,title,author,series,description,genres,awards,characters,language,num_pages,num_ratings,num_reviews,avg_rating,year,series_name,series_vol
14571,14489,$30 Film School,Michael W. Dean,,"Filmmaking is entering a new era. You don't need big bucks or big studio support to make great movies. Computers have made it possible to make great films with very little money. Mini-DV filmmaking is the new punk rock, the new folk music, the new medium in which anyone can tell his story. $30 Film School is an alternative to spending four years and a hundred-thousand dollars to learn the filmmaking trade. This book is a map for D.I.Y. do-it-yourself art-specifically filmmaking. Guerrilla, no-budget, drive-by filmmaking, to be exact. This new edition has been completely updated to cover advancements in video and audio editing, with many new tips and tricks on shooting, producing, and distribution. The second edition also includes a companion DVD.","Culture,Film,Nonfiction",,Unknown,English,544.0,82.0,11.0,3.48,2006,,
4912,4912,'Tis,Frank McCourt,Frank McCourt #2,"The sequel to Frank McCourt's memoir of his Irish Catholic boyhood,,, picks up the story in October 1949, upon his arrival in America. Though he was born in New York, the family had returned to Ireland due to poor prospects in the United States. Now back on American soil, this awkward 19-year-old, with his \pimply face, sore eyes, and bad teeth,\ has little in common with the healthy, self-assured college students he sees on the subway and dreams of joining in the classroom. Initially, his American experience is as harrowing as his impoverished youth in Ireland, including two of the grimmest Christmases ever described in literature. McCourt views the U.S. through the same sharp eye and with the same dark humor that distinguished his first memoir: race prejudice, casual cruelty, and dead-end jobs weigh on his spirits as he searches for a way out. A glimpse of hope comes from the army, where he acquires some white-collar skills, and from New York University, which admits him without a high school diploma. But the journey toward his position teaching creative writing at Stuyvesant High School is neither quick nor easy. Fortunately, McCourt's openness to every variety of human emotion and longing remains exceptional; even the most damaged, difficult people he encounters are richly rendered individuals with whom the reader can't help but feel uncomfortable kinship. The magical prose, with its singing Irish cadences, brings grandeur and beauty to the most sorrowful events, including the final scene, set in a Limerick graveyard.","Nonfiction,Autobiography,Memoir,Biography,Cultural,Ireland,Biography Memoir,European Literature,Irish Literature,History,Historical,New York","Audie Award for Nonfiction, Unabridged 2000,New York City Book Award for Memoir 1999",Frank McCourt,English,495.0,57714.0,2256.0,3.69,1999,Frank McCourt,2
19663,19594,'What Color Is Your Parachute Workbook,Richard Nelson Bolles,,Unknown,"Nonfiction,Business,Self Help,Reference,Psychology,Unfinished,Romance,Historical Romance,Personal Development,How To",,Unknown,English,45.0,592.0,48.0,3.71,2005,,
16059,15979,"'Where Are You Going, Where Have You Been?': Joyce Carol Oates","Joyce Carol Oates,Elaine Showalter",,"Joyce Carol Oates’s prize-winning story “Where Are You Going, Where Have You Been?” takes up troubling subjects that continue to occupy her in her fiction: the romantic longings and limited options of adolescent women; the tensions between mothers and daughters; the sexual victimization of women; and the American obsession with violence. Inspired by a magazine story about a serial killer, its remarkable portrait of the dreamy teenager Connie has made it a feminist classic. Connie’s life anticipates the emergence of American society from the social innocence of the fifties into the harsher contemporary realities of war, random violence, and crime. The story was the basis for the movie,which became the subject of much feminist debate.,This casebook includes an introduction by the editor, a chronology of Oates’s life, an authoritative text of “Where Are You Going, Where Have You Been,” an essay by Oates on,, the original,article about the serial killer, ten critical essays including two about the film, and a bibliography.,The contributors are Brenda O. Daly, Christina Marsden Gillis, Don Moser, Tom Quirk, B. Ruby Rich, R.J.R. Rockwood, Larry Rubin, Gretchen Schulz, Marie Mitchell Oleson Urbanski, Joyce M. Wegs, Marilyn C. Wesley, and Joan D. Winslow.","Short Stories,Horror,Fiction,Classics,Academic,School,Read For School,Literature,20th Century,Adult,Thriller,Literary Fiction",,Unknown,English,176.0,1823.0,135.0,4.11,1994,,
8977,8876,"*planet of the Apes* as American Myth: Race, Politics, and Popular Culture","Eric Greene,Richard Slotkin",,"A lively exploration of the Planet of the Apes films as racial allegory.,In 1968, Planet of the Apes became a megahit movie both in the US and abroad, inspiring four film sequels, two TV series, several comic series, and hundreds of millions of dollars in worldwide merchandising. The Apes films confronted some of the most controversial issues of the time, including Vietnam and the Black Power movement, all the while remaining crowd pleasing box office hits.,Eric Greene uses rare photographs, transcripts, and extensive interviews with the writers, directors, actors, and producers to read the Apes saga as a profoundly American myth. Greene also looks at the attempts of filmmakers like Oliver Stone and James Cameron to remake the myth for the 90s. This enjoyable and meticulous book gives the reader an insider's look at the complex relationships between race, politics and popular culture in America.","Nonfiction,Media Tie In,Race",,Unknown,English,286.0,56.0,6.0,3.91,1999,,
6574,6549,", said the shotgun to the head.",Saul Williams,,"The greatest Americans,","Poetry,Fiction,Philosophy,Literature,Cultural,African American,Contemporary,Adult,Music,The United States Of America,American",,Unknown,English,192.0,2918.0,234.0,4.22,2003,,
11017,10928,. . . and His Lovely Wife: A Memoir from the Woman Beside the Man,Connie Schultz,,"Writing with warmth and humor, Connie Schultz reveals the rigors, joys, and absolute madness of a new marriage at midlife and campaigning with her husband, Sherrod Brown, now the junior senator from Ohio. She describes the chain of events leading up to Sherrod’s decision to run for the Senate he would not enter the fray without his wife’s unequivocal support, and her own decision to step down from writing her Pulitzer Prize-winning column during the course of one of the nation’s most intensely watched races. She writes about the moment her friends in the press became not so friendly, the constant campaign demands on her marriage and family life, and a personal tragedy that came out of the blue. Schultz also shares insight into the challenges of political life: dealing with audacious bloggers, ruthless adversaries, and political divas; battling expectations of a political wife; and the shock of having staffers young enough to be her children suddenly directing her every move. Connie Schultz is passionate and outspoken about her opinions–in other words, every political consultant’s nightmare, and every reader’s dream.,“[Schultz is] a Pulitzer Prize—winning journalist with a mordant wit. . . . The [campaign memoir] genre takes on new life.”,“With her characteristic wit and reportorial thoroughness, [Schultz] describes the behind-the-scenes chaos, frustration and excitement of a political campaign and the impact it has on a candidate’s family.”,“Witty and anecdotal, whether read by a Democrat or a Republican.”,“Frank and feisty . . . a spunky tribute to the survival of one woman’s spirit under conditions in which it might have been squelched.”","Autobiography,Memoir,Nonfiction,Politics,Biography,Biography Memoir,Feminism,Womens,Writing,Journalism",,Unknown,English,304.0,683.0,120.0,4.24,2007,,
11613,11525,"1,000 Places to See Before You Die",Patricia Schultz,,"Around the World, continent by continent, here is the best the world has to offer: 1,000 places guaranteed to give travelers the shivers. Sacred ruins, grand hotels, wildlife preserves, hilltop villages, snack shacks, castles, festivals, reefs, restaurants, cathedrals, hidden islands, opera houses, museums, and more. Each entry tells exactly why it's essential to visit. Then come the nuts and bolts: addresses, websites, phone and fax numbers, best times to visit. Stop dreaming and get going.,This hefty volume reminds vacationers that hot tourist spots are small percentage of what's worth seeing out there. A quick sampling: Venice's Cipriani Hotel; California's Monterey Peninsula; the Lewis and Clark Trail in Oregon; the Great Wall of China; Robert Louis Stevenson's home in Western Samoa; and the Alhambra in Andalusia, Spain. Veteran travel guide writer Schultz divides the book geographically, presenting a little less than a page on each location. Each entry lists exactly where to find the spot e.g. Moorea is located \12 miles/19 km northwest of Tahiti; 10 minutes by air, 1 hour by boat\ and when to go e.g., if you want to check out The Complete Fly Fisher hotel in Montana, \May and Sept.-Oct. offer productive angling in a solitary setting\. This is an excellent resource for the intrepid traveler.,Copyright 2003 Reed Business Information, Inc.","Travel,Nonfiction,Reference,Adventure,History,Science,Geography,Self Help,Adult,Unfinished,Guides",,Unknown,English,992.0,39003.0,528.0,3.86,2003,,
571,572,"1,000 Places to See in the U.S.A.  Canada Before You Die",Patricia Schultz,,"It's the phenomenon:,has 2.2 million copies in print and has spent 144 weeks and counting on,bestseller list.,Now, shipping in time for the tens of millions of travelers heading out for summer trips, comes,Sail the Maine Windjammers out of Camden. Explore the gold-mining trails in Alaska's Denali wilderness. Collect exotic shells on the beaches of Captiva. Take a barbecue tour of Kansas City—from Arthur Bryant's to Gates to B.B.'s Lawnside to Danny Edward's to LC's to Snead's. There's the ice hotel in Quebec, the Great Stalacpipe Organ in Virginia, cowboy poetry readings, what to do in Louisville after the Derby's over, and for every city, dozens of unexpected suggestions and essential destinations.,The book is organized by region, and subject-specific indices in the back sort the book by interest—wilderness, great dining, best beaches, world-class museums, sports and adventures, road trips, and more. There's also an index that breaks out the best destinations for families with children. Following each entry is the nuts and bolts: addresses, websites, phone numbers, costs, best times to visit.","Travel,Nonfiction,Reference,Cultural,Canada,History,Guidebook,Adult,United States",,Unknown,English,1183.0,2565.0,104.0,4.05,2007,,
15110,15029,10 Conversations You Need to Have with Your Children,Shmuley Boteach,,"Communicating with our children. Conversing. Connecting. When did it become so difficult? And how do we begin to change it for the better?,This book was designed to help parents answer these important questions, and it is based on two fundamental ideas: The first is that there are no bad children, and no deliberately bad parents -- but that sometimes, despite the best of intentions on both sides, there can be bad,between parents and children. The second is that, as parents, we must do everything we can to save those relationships, to reach out and really communicate with our children, because it is only through talking to them that we can create an environment for inspiration and change.,In this compelling book, Shmuley Boteach, passionate social commentator and outspoken relationship guru, walks you through the critical conversations, including:,. As a father of eight, Rabbi Shmuley speaks from a wealth of experience. He has written a book for parents of children of all ages, from toddlers, who are just beginning to become aware of the world around them, to adolescents, who must learn to navigate all sorts of tricky social and academic pressures.,will help you stay connected to your children so that they develop the kind of strong moral character that leads to rich, meaningful lives.","Parenting,Nonfiction,Reference,Self Help,Personal Development,Psychology,Philosophy,Childrens,Relationships,Literature,Jewish",,Unknown,English,208.0,311.0,64.0,3.87,2006,,
